VINCENT,AIMABLE,AREA,FUNCTION,WHY IT MATTERS,SIMPLE RULE,User,Comment,Priority,IN IHUTE MAIN,GRANDMA,DATABASE,API,REDIS,Function existence (IHUTE codebase),Needed enhancement,Class names (Kaos / Next),API endpoint or servlet name,Redis keys or usage (Kaos IHUTE_BCND),Representative SQL or table,Readiness percent,Fixing priority,Grandma app guidance (keep / add / remove / hide)
,refill,ORDER,,,,Seller,,0,NEW,NEW,,,,Partial: eRx Refill field for pharmacy; not generic reorder.,If generic refill: wire reorder API + UI; clarify scope.,Pharmacy eRx: lib/erx-prescription.ts; reorder: Kaos.re_order @WebServlet /api/reorder,POST /api/reorder; eRx fields in cart payload,Typically none specific to refill,Reorder inserts depend on reorder servlet and order tables,50,High — clarify product scope then wire UI,Hide or rename: pharmacy Refill jargon confuses general Grandma; use Order again if needed.
,report,ORDER,,,,Seller,,0,EXIST,NEW,,,,Exists: seller reports/analytics (verify exact module).,Export CSV/PDF; date range.,Kaos.SupplierServlet; payment DashboardServlet,Analytics endpoints; DownloadOrderExel optional,supplier:<account>:stats:<dateRange>,SELECT aggregates from orders / transactions,70,Medium — export CSV,Remove from Grandma: seller analytics; keep in seller dashboard app only.
,search by name,ORDER,Simple search (name only),Grandma finds fast,No filters needed,BUYER,,0,EXIST,NEW,,,,Exists: global-search; search page.,Typo/synonym handling.,Kaos.fetchSuggestions; app/api/global-search,GET global-search; Java fetchSuggestions search,supplier_*; inverted index keys inside fetchSuggestions; quick_code:*,SELECT from indexed products + Redis overlay,83,Low — synonyms,Keep: simple name search; hide advanced filters on first screen.
"*Ikindi dukeneye ni'ba umukiriya asuye ihute ahitemo category,shop ,pharmacy,restrant nibind",search by CATEGORY,ORDER,,,,BUYER,"nakora click kuri category ashaka niba arishop ,abone list ya shps",1,EXIST,NEW,,,,Exists: categories + category AI; grandma category UX.,DB-backed categories; list shops under category.,app/api/categories; Kaos.fetchSuggestions sector filters,GET /api/categories; fetchSuggestions with category/sector,type_<sector>_* style caches in fetchSuggestions,Static list in Next OR DB categories table when wired,65,High — replace static categories with DB,Add: tap category then see list of shops (not only products); reduces wrong shop.
"location,owner and click to open shop hanyuma nibwo shop izafunguka ",search by location,ORDER,,,,BUYER,*Kuri glandma nakora click kurishop abe yahitamo imwegereye and open shop,1,EXIST,NEW,account_distances,,,Exists: nearest suppliers; account_distances; location.,Distance sort + map; grandma tap-to-open shop.,Kaos.SupplierLocationServlet; app/api/suppliers/nearest,suppliers/nearest; account_distances logic,Less common; distance computed often in SQL + geo,SELECT suppliers with lat/lon; haversine or stored distance,72,Medium — map and sort by km,Keep: default nearest shop + map or sorted list; core Grandma need.
,Search by Favorites,ORDER,,,,BUYER,,3,NEW,NEW,user_preferences,,,Partial: favorites + prefs; not search-only-in-favorites.,Filter/sort favorites + search scope.,lib/favorites-store.ts; Kaos (no Redis for favorites in grep),Next /api/favorites/*,Not found in Kaos favorites; may be DB-only user_preferences,SELECT user favorites join products,55,Medium — scoped search,Add: search within favorites; hide duplicate Wishlist naming in Grandma.
,search by cheapest,ORDER,,,,BUYER,,1,NEW,NEW,,,,Gap: cheapest-first sort.,sort=price_asc in API + UI.,fetchSuggestions; global-search (sort not exposed),Same search API; needs sort=price_asc,Price inside supplier_* JSON; sort in app layer,ORDER BY price in SQL or sort JSON after fetch,40,High — add API parameter and UI,Hide behind More: cheapest sort is optional; not default for Grandma.
,search by brand,ORDER,,,,BUYER,,3,EXIST,NEW,,,,Partial: brand may exist in data.,Brand facet + indexed field + filter.,Kaos.fetchSuggestions (brand facets),fetchSuggestions with brand parameter,Brand bucket keys in fetchSuggestions cache builder,Filter WHERE brand = ? on items,60,Medium — index brand column,Hide behind More: brand filter is power-user; not default.
,search by closest,ORDER,,,,BUYER,,1,WEAK,NEW,,,,Weak: closest (sheet WEAK).,Prominent geolocation + km sort.,Kaos.SupplierLocationServlet; SellerSearchServlet,suppliers/nearest; geolocation APIs,supplier_*; geo mostly SQL,ORDER BY distance,58,High — UX for closest-first,Keep: closest-first is default priority; improve prominence and km display.
*ikindi kuri ihute hakemurwe ikibazo cya create acount to login/signup,,CUSTOMER INFO,Name + Phone,Identify buyer,Mandatory,BUYER,,0,EXIST,REUSE,account_payment,,,Exists: login/register; auth APIs; account_payment reuse.,Fix broken forms row 41.,Kaos.Structures.LoginServlet; UserAuthServlet; Next auth,POST /LoginServlet or /api/auth/login,Session tokens sometimes cached; LOG: email pattern in insertrekizisiyo,SELECT from accounts for login; account_signup insert for register,70,Critical — fix broken supplier/customer forms (row 41),Keep: minimal signup; fix broken forms before any Grandma campaign.
,,PAYMENT,Show: MoMo / Cash,Simple choice,No integration needed first,BUYER,,0,EXIST,REUSE,,,,Exists: MoMo/Cash in checkout; confirmPayment.,Automate confirmation if still manual.,ishyiga_src.MoMoPaymentServlet; payment.PayNowServlet; confirmPayment route,POST confirmPayment; MoMo payment servlets,Payment dashboards may cache stats; not order-specific,INSERT payment / transaction rows,82,Medium — auto-confirm pipeline,Keep: MoMo / Cash with plain labels; one sentence on fees if variable.
,,CONFIRMATION,Show “Order received”,Trust,Always confirm,BUYER,,0,EXIST,REUSE,,,,Exists: order-success + confirmation copy.,Optional SMS/email.,app/order-success/page.tsx,Client route only,None,N/A front-only,90,Low — optional SMS,Keep: full-screen Order received; large text.
,,ORDER ID,Generate simple number,Track order,Must exist,Seller,,0,EXIST,REUSE,,,,Exists: order IDs via post_orders / Java.,Short support-friendly IDs.,Kaos.post_orders; DbHandler.orderId,Java post_orders (mapping in web.xml); EETransaction,None for ID generation,insertTransaction; checkIfExist by TRANSACTION_ID,85,Low — shorter display IDs,Keep: simple order ID; large font on confirmation.
*Ese client nagura product aramenya aguze muri shop yande aramenya arinde  mu seller umwakiriye. Kuko dufite many products and different price ntago azingo shop naguzeho ngo irihe ngize ikibazo nahamagarande.,,📲 ORDERS LIST,See mY orders,,,BUYER,,1,EXIST,REUSE,order_ratings,,,Exists: buyer orders; order_ratings tie-in.,Clarify which shop per line item (CSV concern).,Next app/orders; Kaos order list servlets,GET /api/orders; buyer order APIs,Rare; list from DB,SELECT orders WHERE buyer = ?,78,Medium — per-shop line clarity,Add: every line item must show shop name and logo; fixes multi-shop confusion.
*ikindi seller akeneye simple dashboard imwereka abakiriya batanze order online,,📲 ORDERS LIST,See all orders,Know what to prepare,Real-time,Seller,,1,EXIST,REUSE,order_transaction_list,,,Exists: supplier orders; order_transaction_list; dashboards.,Real-time new-order signal.,Kaos.SellerOrdersServlet,POST action=listSellerOrders; Next /api/seller-orders,Optional cache; mostly SQL,fetchOrdersForSeller SQL in SellerOrdersServlet,80,Medium — websocket or poll,Seller-only: seller order list; optional lightweight view if same app.
,,📲 ORDER STATUS,Pending / Preparing / Sent / Done,Control flow,1 tap change,Seller,,1,EXIST,REUSE,,,,Exists: status APIs; grandma seller workflow.,Match labels Pending/Preparing/Sent/Done; push to buyer.,Kaos.OrderStatusServlet; app/api/orders/update-status,/api/order-status; OrderStatusServlet,Invalidate order caches if any,UPDATE order status,78,Medium — buyer push notification,Keep: big status chips for seller preparing orders for Grandma buyers.
,,📲 CALL BUTTON,Call customer,Fix issues fast,Direct call,Seller,,3,NEW,NEW,,,,Gap: dedicated Call button on order.,tel: from order phone + mobile UX.,Not a first-class servlet; seller order UI only,Add tel: link in Next supplier order row,None,SELECT buyer phone from order,45,Medium — ship tel: in UI,Add: one-tap Call buyer on order row (tel:).
,,📲 SMS BUTTON,Send message,Confirm order,1 click,Seller,,3,NEW,NEW,,,,Gap: one-tap SMS.,sms: link with order id or Twilio backend.,Kaos.WishlistServlet uses Twilio for SMS elsewhere,Twilio from WishlistServlet pattern; new thin endpoint,None for SMS body,N/A or log table,40,Medium — sms: URI or Twilio,Add: optional SMS; keep simple preset message.
,,📲 PAYMENT INFO,Show MoMo code + ID,Avoid confusion,Always visible,Seller,,1,EXIST,REUSE,,,,Exists: payment info in flows; payment dashboard.,Always on seller order card; mask in logs.,Payment dashboard; seller order detail,Existing payment APIs,None specific,SELECT payment metadata,75,Low — surface on card,Keep: MoMo code visible to seller on order card.
,,📲 MANUAL CONFIRM,Accept / Reject order,Human control,No auto,Seller,,1,NEW,NEW,,,,Exists: grandma Accept/Reject; rejected status.,Mirror on supplier/orders if missing; audit log.,app/grandma/page.tsx seller actions; SellerOrdersServlet status,updateSellerOrderStatus; listSellerOrderItems,None,UPDATE order SET status,80,Low — parity on /supplier/orders,Keep: large Accept / Reject; primary Grandma seller flow.
,,📲 TIME,Show order time,Prioritize,Clear timing,Seller,,1,NEW,REUSE,,,,Partial: timestamps in orders.,Relative time + TZ on seller cards.,SellerOrdersServlet timestamps,Order JSON created_at,None,SELECT order created_at / updated_at,70,Low — format in UI,Keep: show order time clearly (relative + clock).
,,🚲 ADDRESS,Simple location text,Deliver easily,No map needed first,rider,,0,EXIST,REUSE,vehicles,,,Exists: delivery create/list; vehicles reference.,Address validation + landmarks.,Kaos.DeliveryCreateServlet; app/api/delivery/*,"/api/delivery/create, list",Typically none for address text,INSERT delivery_orders or equivalent,75,Medium — validation,Keep: short address text; optional landmark field for riders.
,,🚲 STATUS,“Out for delivery”,Customer trust,Simple update,rider,,1,EXIST,REUSE,drivers,,,Exists: driver/delivery status.,Buyer map link optional.,Delivery status APIs; drivers module,/api/delivery/* received status,None,UPDATE delivery status,72,Low — buyer tracking link,Keep: simple Out for delivery status for trust.
,,🚲 CALL RIDER,Connect rider,Coordination,Optional,rider,,2,WEAK,REUSE,drivers,,,Weak: call rider (sheet WEAK).,Show rider phone + tel when assigned.,Driver phone in delivery record,GET delivery detail,None,SELECT driver phone,50,Medium — show tel:,Add: show rider phone + call when assigned.
,,Rate a driver,,,,rider,,2,WEAK,REUSE,drivers,,,Weak: delivery rate API.,Post-delivery rating prompt.,app/api/delivery/rate,POST rate delivery,None,INSERT delivery_rating,55,Medium — prompt after delivery,Optional: rate driver after delivery; hide if too many steps.
,,Rate a shop,,,,Seller,,2,WEAK,REUSE,order_ratings,,,Weak: order_ratings / supplier rating.,Post-order shop rating UI.,Kaos.RatingServlet; order_ratings,/Kaos/RatingServlet; Next /api/ratings,Low usage in Redis for ratings,INSERT supplier_rating / order_ratings,58,Medium — post-order prompt,Optional: rate shop; one screen after order.
,,Rate product,,,,BUYER,,2,WEAK,REUSE,chaos_beta.niki_items,,,Weak: product rate API.,Surface on product after purchase.,app/api/products/rate,POST /api/products/rate,None,INSERT product_rating,55,Medium — gate by purchase,Optional: rate product; do not block reorder.
niba akatuza akore kuri button ya katuza ,,,,,,Seller,,4,NEW,REUSE,,,,Unclear: katuruza/payout button.,Define product rule; link payment dashboard.,payment.DashboardServlet; DashboardAnalyticsServlet,Dashboard payout actions,supplier:<account>:stats:*,SELECT transactions for payout,50,High — clarify business rule,Remove from Grandma: payout/katuruza; seller finance only.
nawe akohereza commands,,,,,,Seller,not clear,5,NEW,LITE,,,,Unclear: commands (table/B2B?).,Clarify; table-commands APIs exist for venues.,Kaos.TableCommandQRCodeServlet; table-commands APIs,POST /api/table-commands/*,Per-venue optional,INSERT table_commands,45,High — product definition,Remove from Grandma: table/B2B commands; venue-only.
* izi form 2 become supplier and become customer ntizikora  kuri ihute.,,,,,,Seller,hakemurwe ikibazo cya backend,5,NEW,NEW,,,,Gap: forms broken (sheet).,Fix Java endpoints + Next proxies; E2E tests.,SignupServlet; LoginServlet; UserAuthServlet,SignupServlet; register routes,None,account_signup INSERT; login SELECT,40,Critical — backend errors first,Critical: fix signup before pushing Grandma; block broken paths.
*ikindi price ya derively iri fixed kumuntu uguze ipaki ya Nile numuntu uranguye derively yabo ikwiyeguhinduka,,,,,,BUYER,not clear,5,NEW,NEW,,,,Gap: delivery pricing rule unclear.,Rules engine: zones/tiers; admin config.,DeliveryCreateServlet; ServiceAreaServlet,delivery rate; service area,None,Pricing tables or fixed fee column,35,High — rules engine,Keep: show delivery price rule in one plain sentence on confirm.
Purchase,,,,,,Seller,,,NEW,LITE,,,,Partial: B2B purchase flows.,Expand if procurement module needed.,B2B buy page; b2bApi.ts,/supplier/b2b/api,None,B2B negotiation tables,55,Medium — scope module,Remove from Grandma: B2B procurement; not buyer Grandma.
Ebm,,,,,,Seller,,,NEW,LITE,sdc009000057_transaction,,,Unknown: EBM / sdc009000057_transaction.,Document integration + settings UI.,payment.TransactionSyncServlet; sdc009000057_transaction,EBM-specific sync servlet if deployed,None,SELECT sdc009000057_transaction,30,Low — documentation only until required,Remove from Grandma: EBM integration; back-office only.
whishlist,,,,,,BUYER,,,EXIST,NEW,wishlist,,,Partial: favorites; wishlist table in sheet.,Rename or split wishlist vs favorites.,Kaos.WishlistServlet; Next favorites-store,/WishlistServlet; /api/favorites,WishlistServlet is SQL-heavy; Redis not required,Wishlist tables; favorites merge in Next,65,Medium — align naming wishlist vs favorites,Merge: use Favorites only in Grandma; remove or hide Wishlist duplicate.
,,Grandma-only,Default journey: nearest shop first,,,BUYER,Not in original onboarding sheet,1,NEW,NEW,,,,Add: open app → detect location → list closest shops → big photos → cart → pay.,Implement as default tab and sort on /grandma,,,,,65,High,Add: make this the first screen; reduce steps to first purchase.
,,Grandma-only,Cart line: shop name + logo on every item,,,BUYER,Reduces wrong-shop confusion,1,NEW,NEW,,,,Required for multi-seller cart clarity,Bold shop name per line in cart and confirmation,lib/cart-store.ts; cart UI,N/A,N/A,JOIN order_items supplier,70,High,Add: enforce display in cart-summary and order-success.
,,Grandma-only,Large typography and contrast,,,BUYER,Accessibility,1,NEW,NEW,,,,Base font scale and high contrast theme for Grandma route,CSS theme or Tailwind tokens on /grandma,app/grandma,N/A,N/A,N/A,50,High,Add: Grandma theme tokens; test on small phones.
,,Grandma-only,Capacitor shell: minimal navigation,,,BUYER,Single-app focus,2,NEW,NEW,,,,Hide global features not needed for ordering,Capacitor config + deep link only to /grandma,capacitor.config.ts,N/A,N/A,N/A,55,Medium,Hide: reduce tabs; hide B2B/kiosk entry points.
,,Grandma-only,Plain-language errors (Kinyarwanda / French),,,BUYER,Trust,2,NEW,NEW,,,,Replace technical messages near checkout,lib/translations or copy map,Next error boundaries,N/A,N/A,N/A,40,Medium,Add: reviewed copy for payment and network failures.
,,Grandma-only,Remove: B2B / EBM / table / kiosk from shell,,,SYSTEM,Scope reduction,3,N/A,REMOVE,,,,Not shown in Grandma Capacitor build or feature flag,Feature flag GRANDMA_MODE hides routes,Next middleware or layout,N/A,N/A,N/A,60,High,Remove: route guards; keep IHUTE main for staff.
,,Grandma-only,Remove: developer and Redis debug UI,,,SYSTEM,Safety,4,N/A,REMOVE,,,,No internal keys or logs visible to users,Strip in production Grandma build,N/A,N/A,N/A,N/A,80,Low,Remove: any debug panels from /grandma.
