table_name,keep_delete_update,alter_sql_or_notes,message_to_database_administrator
chaos_beta.alg0000718001_tebuka_request,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.b2b_excel_import_job,KEEP,"ALTER TABLE `chaos_beta`.`b2b_excel_import_job` ADD INDEX idx_status_updated (status, updated_at); -- if columns exist.",B2B module: keep for wholesale flows. Optional: separate read replica for heavy reporting.
chaos_beta.b2b_negotiation,KEEP,"ALTER TABLE `chaos_beta`.`b2b_negotiation` ADD INDEX idx_status_updated (status, updated_at); -- if columns exist.",B2B module: keep for wholesale flows. Optional: separate read replica for heavy reporting.
chaos_beta.b2b_offer,KEEP,"ALTER TABLE `chaos_beta`.`b2b_offer` ADD INDEX idx_status_updated (status, updated_at); -- if columns exist.",B2B module: keep for wholesale flows. Optional: separate read replica for heavy reporting.
chaos_beta.b2b_offer_lines,KEEP,"ALTER TABLE `chaos_beta`.`b2b_offer_lines` ADD INDEX idx_status_updated (status, updated_at); -- if columns exist.",B2B module: keep for wholesale flows. Optional: separate read replica for heavy reporting.
chaos_beta.background_job_status,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.browser_notifications,KEEP,"ALTER TABLE `chaos_beta`.`browser_notifications` ADD INDEX idx_user_sent (user_id, sent_at); -- verify columns.",Notification history: retention and deduplication; coordinate with notification_fatigue rules.
chaos_beta.buyer_cart,KEEP,ALTER TABLE `chaos_beta`.`buyer_cart` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.buyer_discounts,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.buyer_logistic,KEEP,ALTER TABLE `chaos_beta`.`buyer_logistic` ADD INDEX idx_buyer (BUYER_ISHYIGA_ACCOUNT); -- verify column name.,Buyer delivery preferences / addresses: keep for checkout. Not the same as audit logs; index buyer key.
chaos_beta.buyer_payment,KEEP,"ALTER TABLE `chaos_beta`.`buyer_payment` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.car_identification,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.cargo_shipping_costs,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.cart,KEEP,ALTER TABLE `chaos_beta`.`cart` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.cart_departement,KEEP,ALTER TABLE `chaos_beta`.`cart_departement` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.cart_featured_controls,KEEP,ALTER TABLE `chaos_beta`.`cart_featured_controls` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.cart_hero,KEEP,ALTER TABLE `chaos_beta`.`cart_hero` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.cart_hero_item_list,KEEP,ALTER TABLE `chaos_beta`.`cart_hero_item_list` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.cart_tracking,KEEP,ALTER TABLE `chaos_beta`.`cart_tracking` ADD INDEX idx_updated (updated_at); -- verify column names from dump.,Cart state: keep. Ensure TTL or cleanup for abandoned sessions aligns with abandoned_cart_reminders.
chaos_beta.claim,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.commission_collections,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.credit_limits,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.currency_conversion,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.deals,UPDATE,-- If special_deals duplicates special_deal: merge or document one canonical table; avoid two sources of truth.,Marketing deals: consolidate naming (special_deal vs special_deals). DBA should confirm which table the app writes to.
chaos_beta.delivery_orders,KEEP,"ALTER TABLE `chaos_beta`.`delivery_orders` ADD INDEX idx_active_location (status, updated_at); -- tune to schema.",Logistics: keep for rider flows. Location tables may grow fast; partition or archive by month if needed.
chaos_beta.delivery_ratings,KEEP,"ALTER TABLE `chaos_beta`.`delivery_ratings` ADD INDEX idx_active_location (status, updated_at); -- tune to schema.",Logistics: keep for rider flows. Location tables may grow fast; partition or archive by month if needed.
chaos_beta.discount_codes,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.discounts,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.driver_availability,KEEP,"ALTER TABLE `chaos_beta`.`driver_availability` ADD INDEX idx_active_location (status, updated_at); -- tune to schema.",Logistics: keep for rider flows. Location tables may grow fast; partition or archive by month if needed.
chaos_beta.driver_ride,KEEP,"ALTER TABLE `chaos_beta`.`driver_ride` ADD INDEX idx_active_location (status, updated_at); -- tune to schema.",Logistics: keep for rider flows. Location tables may grow fast; partition or archive by month if needed.
chaos_beta.drivers,KEEP,"ALTER TABLE `chaos_beta`.`drivers` ADD INDEX idx_active_location (status, updated_at); -- tune to schema.",Logistics: keep for rider flows. Location tables may grow fast; partition or archive by month if needed.
chaos_beta.email_log,KEEP,ALTER TABLE `chaos_beta`.`email_log` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.favorite_email_prefs,KEEP,"ALTER TABLE `chaos_beta`.`favorite_email_prefs` ADD UNIQUE KEY uq_user_item (user_id, item_id); -- adjust column names.",Favorites/wishlist: align with product (single user-facing list). Prevent duplicate rows with a unique constraint.
chaos_beta.favorite_events_analytics,KEEP,"ALTER TABLE `chaos_beta`.`favorite_events_analytics` ADD UNIQUE KEY uq_user_item (user_id, item_id); -- adjust column names.",Favorites/wishlist: align with product (single user-facing list). Prevent duplicate rows with a unique constraint.
chaos_beta.favorite_items,KEEP,"ALTER TABLE `chaos_beta`.`favorite_items` ADD UNIQUE KEY uq_user_item (user_id, item_id); -- adjust column names.",Favorites/wishlist: align with product (single user-facing list). Prevent duplicate rows with a unique constraint.
chaos_beta.favorite_notification_log,KEEP,ALTER TABLE `chaos_beta`.`favorite_notification_log` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.favorites_list,KEEP,"ALTER TABLE `chaos_beta`.`favorites_list` ADD UNIQUE KEY uq_user_item (user_id, item_id); -- adjust column names.",Favorites/wishlist: align with product (single user-facing list). Prevent duplicate rows with a unique constraint.
chaos_beta.financier_transaction,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.gps_config,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.homepage_categories,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.inquiries,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.institutions,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.item_department,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.kaos_categories,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.language,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.language_ceo,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.location_history,KEEP,ALTER TABLE `chaos_beta`.`location_history` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.logs_login,KEEP,ALTER TABLE `chaos_beta`.`logs_login` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.main_gate,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.main_gate_item,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.missingdata,UPDATE,"ALTER TABLE `chaos_beta`.`missingdata`
  ADD INDEX idx_missing_order (ORDER_ID),
  ADD INDEX idx_missing_seller (SELLER_ISHYIGA_ACCOUNT),
  ADD INDEX idx_heure (HEURE_NOW);",Quarantine table for order line gaps (AUTO_INCREMENT already high). Add indexes for reconciliation jobs; archive rows older than N months or merge into canonical order lines after fix.
chaos_beta.new_deals,UPDATE,-- If special_deals duplicates special_deal: merge or document one canonical table; avoid two sources of truth.,Marketing deals: consolidate naming (special_deal vs special_deals). DBA should confirm which table the app writes to.
chaos_beta.niki_business_categories,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.niki_items,UPDATE,"ALTER TABLE `chaos_beta`.`niki_items` CONVERT TO CHARACTER SET utf8mb4 COLLATE utf8mb4_unicode_ci;
-- Optional Grandma / FMCG (after app agreement):
-- ALTER TABLE `chaos_beta`.`niki_items` ADD COLUMN fmcg_eligible TINYINT(1) NOT NULL DEFAULT 0 AFTER status;
-- DROP INDEX niki_code_UNIQUE; -- redundant duplicate of PRIMARY KEY; verify app first",Core NiKi catalog: keep. Latin1 should move to utf8mb4 for names and keywords. Remove redundant UNIQUE on niki_code if identical to PK. Coordinate FMCG flag with product team.
chaos_beta.notification,KEEP,"ALTER TABLE `chaos_beta`.`notification` ADD INDEX idx_user_sent (user_id, sent_at); -- verify columns.",Notification history: retention and deduplication; coordinate with notification_fatigue rules.
chaos_beta.notification_fatigue,KEEP,"ALTER TABLE `chaos_beta`.`notification_fatigue` ADD INDEX idx_user_sent (user_id, sent_at); -- verify columns.",Notification history: retention and deduplication; coordinate with notification_fatigue rules.
chaos_beta.notification_history,KEEP,ALTER TABLE `chaos_beta`.`notification_history` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.notification_preferences,KEEP,"ALTER TABLE `chaos_beta`.`notification_preferences` ADD INDEX idx_user_sent (user_id, sent_at); -- verify columns.",Notification history: retention and deduplication; coordinate with notification_fatigue rules.
chaos_beta.order_processing_time_track,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.order_ratings,KEEP,ALTER TABLE `chaos_beta`.`order_ratings` ADD INDEX idx_order (order_id); -- if column exists.,Ratings: keep. Moderation tables should link to user and order for abuse handling.
chaos_beta.order_status_history,KEEP,ALTER TABLE `chaos_beta`.`order_status_history` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.order_status_log,KEEP,ALTER TABLE `chaos_beta`.`order_status_log` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.order_transaction,KEEP,"ALTER TABLE `chaos_beta`.`order_transaction`
  ADD INDEX idx_buyer (BUYER_ISHYIGA_ACCOUNT),
  ADD INDEX idx_seller (SELLER_ISHYIGA_ACCOUNT),
  ADD INDEX idx_order_status (ORDER_STATUS),
  ADD INDEX idx_heure (heure);",Core orders: keep. Add composite indexes matching Kaos query patterns (buyer/seller/status/time). Validate PAYMENT_STATUS and amounts with finance before any column type tightening.
chaos_beta.order_transaction_list,KEEP,"ALTER TABLE `chaos_beta`.`order_transaction_list`
  ADD INDEX idx_buyer (BUYER_ISHYIGA_ACCOUNT),
  ADD INDEX idx_seller (SELLER_ISHYIGA_ACCOUNT),
  ADD INDEX idx_order_status (ORDER_STATUS),
  ADD INDEX idx_heure (heure);",Core orders: keep. Add composite indexes matching Kaos query patterns (buyer/seller/status/time). Validate PAYMENT_STATUS and amounts with finance before any column type tightening.
chaos_beta.payers,KEEP,"ALTER TABLE `chaos_beta`.`payers` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.payment,KEEP,"ALTER TABLE `chaos_beta`.`payment` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.payment_client,KEEP,"ALTER TABLE `chaos_beta`.`payment_client` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.payment_splits,KEEP,"ALTER TABLE `chaos_beta`.`payment_splits` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.pre_evat_transaction,KEEP,-- No structural change without EBM vendor guidance; add indexes only if reporting is slow.,EBM / fiscal integration tables: keep. Changes must follow RRA or device vendor rules; coordinate with finance before ALTER.
chaos_beta.prefered_deal,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.prefered_deal_background_image,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.product_changes,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.product_ratings,KEEP,ALTER TABLE `chaos_beta`.`product_ratings` ADD INDEX idx_order (order_id); -- if column exists.,Ratings: keep. Moderation tables should link to user and order for abuse handling.
chaos_beta.product_search_index,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.product_translations,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.purchase_records,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.push_subscriptions,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.rating_moderation,KEEP,ALTER TABLE `chaos_beta`.`rating_moderation` ADD INDEX idx_order (order_id); -- if column exists.,Ratings: keep. Moderation tables should link to user and order for abuse handling.
chaos_beta.rating_notifications,KEEP,ALTER TABLE `chaos_beta`.`rating_notifications` ADD INDEX idx_order (order_id); -- if column exists.,Ratings: keep. Moderation tables should link to user and order for abuse handling.
chaos_beta.rating_rate,KEEP,ALTER TABLE `chaos_beta`.`rating_rate` ADD INDEX idx_order (order_id); -- if column exists.,Ratings: keep. Moderation tables should link to user and order for abuse handling.
chaos_beta.routines,KEEP,-- Not a table: review stored procedures/functions in chaos_beta_routines.sql; version-control and least privilege on DEFINER.,"Treat routines as application code: deploy via migration pipeline, not ad hoc on prod. Audit for SQL injection and excessive permissions."
chaos_beta.sdc009000057_product,KEEP,-- No structural change without EBM vendor guidance; add indexes only if reporting is slow.,EBM / fiscal integration tables: keep. Changes must follow RRA or device vendor rules; coordinate with finance before ALTER.
chaos_beta.sdc009000057_sync_zreport,KEEP,-- No structural change without EBM vendor guidance; add indexes only if reporting is slow.,EBM / fiscal integration tables: keep. Changes must follow RRA or device vendor rules; coordinate with finance before ALTER.
chaos_beta.sdc009000057_transaction,KEEP,-- No structural change without EBM vendor guidance; add indexes only if reporting is slow.,EBM / fiscal integration tables: keep. Changes must follow RRA or device vendor rules; coordinate with finance before ALTER.
chaos_beta.sdc009000057_transaction_list,KEEP,-- No structural change without EBM vendor guidance; add indexes only if reporting is slow.,EBM / fiscal integration tables: keep. Changes must follow RRA or device vendor rules; coordinate with finance before ALTER.
chaos_beta.sdc_error,KEEP,ALTER TABLE `chaos_beta`.`sdc_error` ADD INDEX idx_created (created_at); -- purge job for resolved rows.,Operational diagnostics: keep for incident response. Schedule cleanup so errors table does not grow unbounded.
chaos_beta.sdc_param,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.search_history,KEEP,ALTER TABLE `chaos_beta`.`search_history` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.search_intent_scores,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.search_intent_scores_backup_20251217,DELETE,DROP TABLE IF EXISTS `chaos_beta`.`search_intent_scores_backup_20251217`; -- Run only after verifying data is archived or merged into primary table.,"Point-in-time backup table from naming. Confirm with app owners, export to archive, then drop to save space and avoid schema drift."
chaos_beta.search_notification_history,KEEP,ALTER TABLE `chaos_beta`.`search_notification_history` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.sector_compliance_rules,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.seller_add_stock,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.seller_application_notes,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.special_deal,UPDATE,-- If special_deals duplicates special_deal: merge or document one canonical table; avoid two sources of truth.,Marketing deals: consolidate naming (special_deal vs special_deals). DBA should confirm which table the app writes to.
chaos_beta.special_deal_image,UPDATE,-- If special_deals duplicates special_deal: merge or document one canonical table; avoid two sources of truth.,Marketing deals: consolidate naming (special_deal vs special_deals). DBA should confirm which table the app writes to.
chaos_beta.special_deals,UPDATE,-- If special_deals duplicates special_deal: merge or document one canonical table; avoid two sources of truth.,Marketing deals: consolidate naming (special_deal vs special_deals). DBA should confirm which table the app writes to.
chaos_beta.stock_prediction,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.stock_prediction_temp,DELETE,"DROP TABLE IF EXISTS `chaos_beta`.`stock_prediction_temp`; -- If ETL still needs it, replace with a proper staging schema.",Temp tables in production are risky. Drop if unused; otherwise rename to a dated staging name and document the job that fills it.
chaos_beta.stock_records,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.stock_reservations,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.supplier_location_log,KEEP,ALTER TABLE `chaos_beta`.`supplier_location_log` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.supplier_service_ratings,KEEP,ALTER TABLE `chaos_beta`.`supplier_service_ratings` ADD INDEX idx_order (order_id); -- if column exists.,Ratings: keep. Moderation tables should link to user and order for abuse handling.
chaos_beta.table_command_audit_log,KEEP,ALTER TABLE `chaos_beta`.`table_command_audit_log` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
